Prefix,Next Activity - Ground Truth,Role Prefix,Next Role,Time Between Prefix,Next Activity - Prediction,Correct Prediction
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 1.0314602633510797, -0.07254617068980075]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.7984728833512909]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.7984728833512909, 0.4586225888684481]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.9024012892121481]",10,0
"[1, 12, 14]",14,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9024012892121481, -0.08466285859892385]",10,0
"[1, 12, 14, 14]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9024012892121481, -0.08466285859892385, -0.18798132352736438]",12,0
"[1, 12, 14, 14, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9024012892121481, -0.08466285859892385, -0.18798132352736438, 0.9752824483446225]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -1.0302840343980082]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -1.0302840343980082, 0.35024354496509386]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.8675345679213046]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8675345679213046, 0.5118018943012215]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",2,"[1, 1]",1,"[-1.4224766107948632, 0.06845951148195271]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",2,"[1, 1]",1,"[-1.4224766107948632, -0.40715602647615506]",2,1
[12],10,[1],1,[-1.4224766107948632],10,1
"[12, 10]",10,"[1, 1]",1,"[-1.4224766107948632, 0.9362835659233926]",2,0
"[12, 10, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9362835659233926, -1.3044148812226724]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, 0.9611976184166173]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9611976184166173, -1.0682914220782906]",10,1
"[1, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9611976184166173, -1.0682914220782906, 0.7083061826779393]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.9855962974934955]",10,1
"[1, 12, 10]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9855962974934955, 0.9354674347705095]",2,0
"[1, 12, 10, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.9855962974934955, 0.9354674347705095, 0.9621260046571168]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.999229737508277]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.999229737508277, 0.787912939993894]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.6882461928274601]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.6882461928274601, 0.9535380034350688]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",2,"[1, 1]",1,"[-1.4224766107948632, 0.5177470873295555]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.3449620954367456]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.3449620954367456, -0.6657728313701226]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.9612223498279945]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9612223498279945, 0.45336186060864075]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -1.048229782510454]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -1.048229782510454, 0.6095471717693497]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, -1.048229782510454]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -1.048229782510454, 0.49963795017834334]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -1.048229782510454, 0.49963795017834334, 1.0685634401351571]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.8454732787942191]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.8454732787942191, 0.6102974335775904]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 1.0794226578379815]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 1.0794226578379815, 0.8747753832793994]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.7050153674046035]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7050153674046035, 0.9050775400316422]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.7050153674046035, 0.9050775400316422, 1.0062998625036386]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.5231640683803068]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.5231640683803068, 0.2213793614093358]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.9750209942575306]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9750209942575306, 0.69908394272102]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9750209942575306, 0.69908394272102, 0.6360933041208263]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 1.107867638365155]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 1.107867638365155, 0.8684469741608108]",2,1
[6],1,[1],1,[-1.4224766107948632],1,1
"[6, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.4208626467592042]",12,1
"[6, 1, 12]",14,"[1, 1, 1]",1,"[-1.4224766107948632, -0.4208626467592042, -0.34928221652364433]",10,0
"[6, 1, 12, 14]",12,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.4208626467592042, -0.34928221652364433, -0.7167886048893304]",12,1
"[6, 1, 12, 14, 12]",14,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.4208626467592042, -0.34928221652364433, -0.7167886048893304, 0.276205539201989]",10,0
"[6, 1, 12, 14, 12, 14]",12,"[1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.4208626467592042, -0.34928221652364433, -0.7167886048893304, 0.276205539201989, -0.7984728833512909]",12,1
"[6, 1, 12, 14, 12, 14, 12]",10,"[1, 1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.4208626467592042, -0.34928221652364433, -0.7167886048893304, 0.276205539201989, -0.7984728833512909, 0.45825742501455907]",10,1
"[6, 1, 12, 14, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.4208626467592042, -0.34928221652364433, -0.7167886048893304, 0.276205539201989, -0.7984728833512909, 0.45825742501455907, -0.4218168625421308]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -1.0302840343980082]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -1.0302840343980082, 0.6901249459498009]",2,1
[6],1,[1],1,[-1.4224766107948632],1,1
"[6, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.1887102564734472]",12,1
"[6, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.1887102564734472, -0.5934037210966404]",10,1
"[6, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.1887102564734472, -0.5934037210966404, -0.09313184654470416]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.8611063683682496]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8611063683682496, -0.12091131575345897]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.9399036781947867]",10,1
"[1, 12, 10]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9399036781947867, 0.22913549952450019]",2,0
"[1, 12, 10, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.9399036781947867, 0.22913549952450019, -1.4224766107948632]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.7149848398677691]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7149848398677691, -0.06250645393140049]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.8074395363230387]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8074395363230387, -0.44157973502446596]",10,1
"[1, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.8074395363230387, -0.44157973502446596, -0.20816423549033639]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.9122223048258175]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9122223048258175, 0.6313127098016846]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.056510139836715795]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.056510139836715795, 0.8094060100794297]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, 0.22009212423932878]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.22009212423932878, -0.4657884369124917]",10,1
"[1, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.22009212423932878, -0.4657884369124917, -1.0302840343980082]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.9855962974934955]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9855962974934955, -0.5807811272046935]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",2,"[1, 1]",1,"[-1.4224766107948632, 0.7460161717713304]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.18641258985023038]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.18641258985023038, -0.9729737036015484]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.7463020061765662]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7463020061765662, 0.9731400706310636]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.5092933205534677]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.5092933205534677, 0.7488660354070719]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.5092933205534677, 0.7488660354070719, 0.890458651392415]",2,1
[6],1,[1],1,[-1.4224766107948632],1,1
"[6, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.6848354823160356]",12,1
"[6, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.6848354823160356, -1.048229782510454]",10,1
"[6, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.6848354823160356, -1.048229782510454, -0.5061344481292983]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.8188576525731291]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.8188576525731291, 0.7502821249799967]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.9477309851880297]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9477309851880297, 0.9537887750069326]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.03290243497108472]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.03290243497108472, -0.6804111537791]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.9867161041763244]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9867161041763244, 1.0227264345653113]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9867161041763244, 1.0227264345653113, 0.48474012396543176]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.5150478586654925]",10,1
"[1, 12, 10]",12,"[1, 1, 1]",1,"[-1.4224766107948632, 0.5150478586654925, 0.018956602553820086]",2,0
"[1, 12, 10, 12]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.5150478586654925, 0.018956602553820086, 0.9210246392466482]",10,1
"[1, 12, 10, 12, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.5150478586654925, 0.018956602553820086, 0.9210246392466482, 0.9889484549658735]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.692122171797419]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.692122171797419, 0.9515042598656417]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.692122171797419, 0.9515042598656417, 1.0480636313862655]",2,1
[1],14,[1],1,[-1.4224766107948632],12,0
"[1, 14]",12,"[1, 1]",1,"[-1.4224766107948632, 0.7825838970459461]",12,1
"[1, 14, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7825838970459461, 0.6488890760930706]",10,1
"[1, 14, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.7825838970459461, 0.6488890760930706, 0.8871288006101653]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.4442876946347182]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.4442876946347182, 0.9756779981754304]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.9502296925060997]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9502296925060997, 0.6422875269769039]",10,1
"[1, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.9502296925060997, 0.6422875269769039, 0.7921708718325136]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.21697147291601815]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, 0.21697147291601815, 0.13725198930749025]",10,0
"[1, 12, 14, 12]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.21697147291601815, 0.13725198930749025, 0.7785299096491568]",10,1
"[1, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.21697147291601815, 0.13725198930749025, 0.7785299096491568, 0.20591206492830882]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 1.046200896152842]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 1.046200896152842, 0.9227169584296201]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.7895379630538353]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7895379630538353, 0.11537560508463247]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.7895379630538353, 0.11537560508463247, 0.7942343940392874]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.9852938290600094]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9852938290600094, -0.30020405775180053]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9852938290600094, -0.30020405775180053, 0.8213738861188131]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.819253569605835]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, 0.819253569605835, -0.9209589414604175]",12,1
"[1, 12, 14, 12]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.819253569605835, -0.9209589414604175, 0.8183554477325378]",10,1
"[1, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.819253569605835, -0.9209589414604175, 0.8183554477325378, -0.9855962974934955]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.1757054515297459]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.1757054515297459, -0.03198495935000839]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.8101296405136863]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.8101296405136863, 0.8511344502589488]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.45574834655085195]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.45574834655085195, 1.024896602246935]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.9489065600763807]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9489065600763807, 0.704818550487846]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.8549119740293576]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8549119740293576, 0.07062454538888434]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -1.0140501305618201]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -1.0140501305618201, -0.20994778133438532]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, -0.8431606202558036]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8431606202558036, 0.026623318203716276]",10,0
"[1, 12, 14, 12]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.8431606202558036, 0.026623318203716276, 0.47943691043480946]",10,1
"[1, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.8431606202558036, 0.026623318203716276, 0.47943691043480946, -0.8121063233660725]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, 0.9502686717487131]",12,1
"[1, 1, 12]",14,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9502686717487131, -0.9301680529382633]",10,0
"[1, 1, 12, 14]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9502686717487131, -0.9301680529382633, 0.6287283057373945]",10,1
"[1, 1, 12, 14, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9502686717487131, -0.9301680529382633, 0.6287283057373945, 0.8623527479228915]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.22785302091375734]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.22785302091375734, 0.9035248711710947]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.22785302091375734, 0.9035248711710947, 0.7454996496576858]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.16993861962930754]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.16993861962930754, 0.4519465950834137]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -1.0140501305618201]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -1.0140501305618201, -0.3904438993821367]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.5054949430389608]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.5054949430389608, 0.10082235688539162]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -1.0302840343980082]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -1.0302840343980082, 0.6151625370887058]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.6760988456814356]",10,1
"[1, 12, 10]",12,"[1, 1, 1]",1,"[-1.4224766107948632, -0.6760988456814356, 0.2817928400111927]",2,0
"[1, 12, 10, 12]",14,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.6760988456814356, 0.2817928400111927, 0.7822764253504879]",10,0
"[1, 12, 10, 12, 14]",12,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.6760988456814356, 0.2817928400111927, 0.7822764253504879, -1.0302840343980082]",12,1
"[1, 12, 10, 12, 14, 12]",10,"[1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.6760988456814356, 0.2817928400111927, 0.7822764253504879, -1.0302840343980082, -0.8269267164196157]",10,1
"[1, 12, 10, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.6760988456814356, 0.2817928400111927, 0.7822764253504879, -1.0302840343980082, -0.8269267164196157, -1.148345763970199]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 1.0336562824926612]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 1.0336562824926612, 0.8873505868363498]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 1.0336562824926612, 0.8873505868363498, 0.033134285177502845]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.999229737508277]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.999229737508277, 0.49976841738730093]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.2445256974775404]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.2445256974775404, 0.7523026555772323]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.9502296925060997]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9502296925060997, 0.0003500890951385998]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.848934972281269]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.848934972281269, 1.0126759322387158]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.9627174820154923]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9627174820154923, -0.6560372061135992]",10,0
"[1, 12, 14, 12]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9627174820154923, -0.6560372061135992, 1.0970547411237794]",10,1
"[1, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9627174820154923, -0.6560372061135992, 1.0970547411237794, -0.9855962974934955]",2,1
[6],1,[1],1,[-1.4224766107948632],1,1
"[6, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.5314771979617435]",12,1
"[6, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.5314771979617435, 1.0316357740323736]",10,1
"[6, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.5314771979617435, 1.0316357740323736, 0.6401752237634164]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, 0.0010707971031832541]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.0010707971031832541, 0.83637406953697]",10,1
"[1, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.0010707971031832541, 0.83637406953697, -0.41250705518681907]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.8431606202558036]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8431606202558036, 0.482315356082985]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, -0.36740167915576055]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, -0.36740167915576055, 0.8658373567498399]",10,0
